"성별(1)","응답자특성별(1)",응답자특성별(2),1998,1998,1998,2001,2001,2001,2005,2005,2005,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018
"성별(1)","응답자특성별(1)",응답자특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"전체","소득수준별",중하,1721,37.0,1.2,1544,31.3,1.0,1549,30.7,1.4,570,26.7,2.7,1328,28.3,1.4,1506,28.4,1.2,1248,28.6,1.5,1184,28.0,1.6,1116,27.6,1.7,1052,26.0,1.8,1037,23.6,1.5,1076,20.8,1.6,1201,25.1,1.5,1215,23.9,1.6,1236,25.0,1.7
"전체","소득수준별",중,1788,34.9,1.0,1463,30.3,1.1,1520,28.8,1.2,567,24.6,2.4,1296,27.0,1.6,1475,26.6,1.4,1271,25.0,1.5,1190,25.2,1.7,1087,22.6,1.8,1080,23.3,1.7,1036,24.2,1.7,1081,23.1,1.8,1201,21.5,1.6,1221,21.5,1.5,1242,20.6,1.6
"전체","소득수준별",중상,1815,33.9,1.1,1531,27.3,1.3,1523,25.5,1.2,571,24.6,2.5,1341,26.5,1.5,1490,24.7,1.3,1214,25.3,1.7,1191,22.2,1.6,1110,21.6,1.7,1063,20.0,1.4,1051,22.3,1.7,1084,20.5,1.6,1203,21.8,1.6,1228,20.0,1.5,1222,19.2,1.4
"전체","소득수준별",상,1762,32.7,1.1,1726,28.1,1.1,1523,25.4,1.4,573,18.8,1.9,1296,22.5,1.4,1452,20.8,1.3,1228,24.0,1.6,1206,22.7,1.6,1134,22.6,1.8,1079,19.1,1.5,1039,18.6,1.4,1088,18.0,1.5,1199,19.6,1.6,1220,15.1,1.3,1231,15.8,1.3
"전체","거주지역(표준화)별",동,5716,34.4,0.7,6417,29.3,0.7,6237,28.0,0.7,2117,25.3,1.2,4999,27.7,0.7,5553,26.8,0.7,4890,27.0,0.7,4809,26.2,1.0,4466,25.4,0.9,4307,23.3,1.0,4192,23.4,0.8,4364,22.4,0.9,4853,23.1,0.9,4991,21.5,0.9,5060,21.7,0.8
"전체","거주지역(표준화)별",읍면,3107,36.5,0.9,1652,33.8,1.0,1564,33.3,1.3,863,25.1,2.9,1798,27.7,2.0,1917,28.9,1.7,1366,28.5,2.2,1214,31.6,2.4,1125,28.2,2.3,1031,27.5,2.1,1000,29.7,2.1,1041,23.6,2.2,1162,28.8,2.7,1124,27.5,2.7,1123,27.3,1.8
"전체","소득수준(표준화)별",하,1737,38.8,1.1,1335,34.8,1.3,1599,33.4,1.2,561,31.1,2.1,1323,32.6,1.5,1466,32.5,1.4,1215,31.1,1.8,1204,32.9,1.7,1079,29.6,1.9,1036,28.9,1.7,1010,28.1,1.7,1045,26.0,1.8,1192,25.6,1.8,1211,26.0,2.0,1234,25.1,1.6
"전체","소득수준(표준화)별",중하,1721,36.6,1.2,1544,31.2,1.1,1549,30.8,1.3,570,26.6,2.6,1328,28.6,1.5,1506,28.9,1.3,1248,28.5,1.5,1184,29.1,1.7,1116,28.4,1.8,1052,26.5,1.8,1037,24.3,1.6,1076,21.6,1.7,1201,26.0,1.6,1215,24.9,1.8,1236,26.7,1.8
"전체","소득수준(표준화)별",중,1788,34.7,1.1,1463,30.0,1.1,1520,29.0,1.2,567,25.1,2.2,1296,27.6,1.6,1475,27.2,1.3,1271,25.8,1.6,1190,26.0,1.7,1087,23.5,1.9,1080,24.0,1.7,1036,25.8,1.8,1081,24.2,1.9,1201,22.5,1.8,1221,22.7,1.6,1242,21.6,1.8
"전체","소득수준(표준화)별",중상,1815,33.7,1.1,1531,27.6,1.3,1523,25.4,1.2,571,24.8,2.5,1341,26.8,1.5,1490,25.3,1.3,1214,26.2,1.7,1191,22.7,1.6,1110,22.5,1.8,1063,20.9,1.6,1051,23.1,1.9,1084,21.7,1.8,1203,23.5,1.8,1228,21.7,1.6,1222,20.5,1.6
